"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"S_2",0.0648202,0.08605485,0.109664,0.0865328637716667,0.0114793539967318,NA,4.72312260275544e-05,0.4,59071,-0.00125354447304686,1.00002704147047,"S_2",0.087,0.065,0.11
"S_23",0.079518,0.3878765,0.735104,0.401431191473167,0.175389458572377,NA,0.000722101727513073,0.4,58994,0.00229024055061755,1.00006682326642,"S_23",0.401,0.08,0.735
"S_24",0.348676,0.598386,0.848214,0.599327767733333,0.128184588447292,NA,0.000531782854636693,0.4,58104,-0.00165502344157798,1.0000246865536,"S_24",0.599,0.349,0.848
"Pa_3",0.940926,0.9859885,0.999999,0.980082005883333,0.0196140692560373,NA,9.39827319757114e-05,0.5,43555,-0.00758730372586859,1.0001068546764,"Pa_3",0.98,0.941,1
"Pa_30",0.503308,0.754209,0.954481,0.741058334983333,0.122180300536552,NA,0.000507713953707717,0.4,57911,0.00607405413051366,1.00003650680596,"Pa_30",0.741,0.503,0.954
"Pb_3",0.751923,0.8527065,0.938527,0.848376663016667,0.0489101734404526,NA,0.000201334771141859,0.4,59015,0.00145304871245528,1.00003022678505,"Pb_3",0.848,0.752,0.939
"Pb_30",0.505724,0.7551145,0.956272,0.741437795366667,0.122340411737281,NA,0.00050520449523367,0.4,58642,-0.00276104596830329,0.999990073948431,"Pb_30",0.741,0.506,0.956
"S_4",0.495116,0.6286355,0.758283,0.6276646247,0.067525079366488,NA,0.000279936763584285,0.4,58185,0.00301873859767752,1.00001240316901,"S_4",0.628,0.495,0.758
"Pa_8",0.898622,0.975326,0.999998,0.965414642816667,0.0331389826424361,NA,0.000154413034141889,0.5,46059,-0.00089241873219909,1.00005272692432,"Pa_8",0.965,0.899,1
"Pb_8",0.898092,0.975326,0.999999,0.965180598483333,0.0334883796612164,NA,0.000155991103498005,0.5,46088,0.00286797394535033,1.000012957788,"Pb_8",0.965,0.898,1
"gamma_5",0.683399,0.8241445,0.938059,0.81708079835,0.0670717462655583,NA,0.000277592313699314,0.4,58380,-0.00208476355398046,1.00001984532835,"gamma_5",0.817,0.683,0.938
"Pa_14",0.19048,0.6687205,0.999992,0.635564330999667,0.244611172063216,NA,0.00100879896797734,0.4,58795,0.00163057948483829,1.00001285961128,"Pa_14",0.636,0.19,1
"Pb_14",0.192969,0.669126,0.999997,0.636406732647333,0.243846800584756,NA,0.00101044282143472,0.4,58239,-0.00472369218735024,0.999985203254021,"Pb_14",0.636,0.193,1
"gamma_13",0.018197,0.2796035,0.614171,0.300675436360733,0.165358400078018,NA,0.000675072841456904,0.4,60000,0.000676565114080421,1.00012299948012,"gamma_13",0.301,0.018,0.614
"Pa_15",0.531688,0.8622615,0.999999,0.824782081916667,0.145898416604633,NA,0.000631259002118724,0.4,53418,0.000731441835883077,0.999988388332973,"Pa_15",0.825,0.532,1
"Pb_15",0.532097,0.8624095,0.999992,0.824761163333333,0.145661701972696,NA,0.00062315598217694,0.4,54638,-0.00127944168348331,0.999993758188776,"Pb_15",0.825,0.532,1
"S_12",0.64845,0.802637,0.933186,0.795869209783333,0.0749737542669524,NA,0.000306079070091411,0.4,60000,-0.00114714104597737,1.00000288237246,"S_12",0.796,0.648,0.933
"Pa_21",0.632325,0.9001695,0.999998,0.867647788616667,0.115910946172103,NA,0.000508902828512886,0.4,51878,-0.00122765658465831,1.00000387741066,"Pa_21",0.868,0.632,1
"Pb_21",0.633029,0.899545,1,0.867687246416667,0.115692821127553,NA,0.000514203264365141,0.4,50622,-0.0129130256134727,1.00006355006161,"Pb_21",0.868,0.633,1
"gamma_18",0.125188,0.2882845,0.474276,0.293684539321667,0.0913366651912118,NA,0.000371209066441313,0.4,60541,-0.000956849591648939,1.00001591530129,"gamma_18",0.294,0.125,0.474
"Pa_22",0.837459,0.959236,1,0.943548760883333,0.0530832116556399,NA,0.00024336527995544,0.5,47577,-0.000944946970910574,1.00003618276342,"Pa_22",0.944,0.837,1
"Pb_22",0.835957,0.959227,0.999998,0.94329607945,0.0534391246512334,NA,0.000242936985309863,0.5,48387,-0.000199835188835618,0.999988240075544,"Pb_22",0.943,0.836,1
"S_16",2.82441e-06,0.292593,0.809766,0.339353074124206,0.246258573167247,NA,0.00101790961542305,0.4,58528,-5.40410789232323e-05,1.00001441951222,"S_16",0.339,0,0.81
"S_17",0.157343,0.53063,0.916176,0.5314966782805,0.202683051897306,NA,0.000823951477331612,0.4,60511,-0.0022337591858075,1.00005528758646,"S_17",0.531,0.157,0.916
"sac_route",0.407583,0.57913,0.752438,0.577130705833333,0.0886873515706759,NA,0.00036206459664496,0.4,60000,0.00153151130848654,1.00002746594359,"sac_route",0.577,0.408,0.752
"sutter_route",0.00130605,0.04642515,0.133366,0.0555664470459667,0.0397461100785491,NA,0.000164521898326021,0.4,58364,0.00292352991953882,1.00016194460189,"sutter_route",0.056,0.001,0.133
"steam_route",0.0315596,0.1200275,0.236706,0.1273527586805,0.0553937747964589,NA,0.000228022257835142,0.4,59016,0.000304892398943083,1.00003287032353,"steam_route",0.127,0.032,0.237
"georg_route",0.0966675,0.2343525,0.391792,0.239950090493333,0.0773807520067618,NA,0.000317076530912277,0.4,59558,-0.00208088920706698,1.00000284377361,"georg_route",0.24,0.097,0.392
"sac_surv",0.157592,0.2950625,0.456045,0.299311228121667,0.0772873547475018,NA,0.000318405262928192,0.4,58919,-0.000752980471634162,1.00003781751568,"sac_surv",0.299,0.158,0.456
"sutter_surv",1.96101e-06,0.181605,0.509743,0.212502517444538,0.156085464867236,NA,0.000640102000250112,0.4,59460,1.8767762485638e-05,1.00000635915777,"sutter_surv",0.213,0,0.51
"steam_surv",0.0862522,0.3291585,0.586055,0.333505796251167,0.132629620853308,NA,0.000539108729925747,0.4,60524,-0.00428922407190233,1.00007221824342,"steam_surv",0.334,0.086,0.586
"georg_surv",0.0396364,0.1906565,0.3862,0.200495137563167,0.0930669806283008,NA,0.000384333366033808,0.4,58637,0.00225127586201398,1.00011440634656,"georg_surv",0.2,0.04,0.386
"overall_surv",0.158534,0.270107,0.397027,0.274556496503333,0.0616278642322325,NA,0.00025159470217748,0.4,60000,-4.06698459999028e-05,1.00003516763079,"overall_surv",0.275,0.159,0.397
"overall_surv_fromrelease",0.0123311,0.02317245,0.0361901,0.0237570900866667,0.00622025944885358,NA,2.5520011708528e-05,0.4,59409,-0.00238896244882313,1.00007187085644,"overall_surv_fromrelease",0.024,0.012,0.036
"P_3",0.990465,0.998032,1,0.9969602113,0.0033333744309889,NA,1.53739362438224e-05,0.5,47011,-0.00331836135401984,1.00025432329338,"P_3",0.997,0.99,1
"P_30",0.81525,0.944202,0.998641,0.928863331966667,0.0563921343978786,NA,0.000237040314425388,0.4,56597,0.00462851102861618,0.99999736974593,"P_30",0.929,0.815,0.999
"P_8",0.995166,0.999504,1,0.998790650433333,0.00198158705035226,NA,8.90401679130416e-06,0.4,49528,-0.0014986205781286,1.00000337914894,"P_8",0.999,0.995,1
"P_14",0.541684,0.915574,1,0.861677762475,0.149194936709089,NA,0.000614778942894722,0.4,58894,-0.00282636071543716,1.00003785479751,"P_14",0.862,0.542,1
"P_15",0.877245,0.984945,1,0.968043780483333,0.0450211199976636,NA,0.000192987710940347,0.4,54422,-0.00046312104711307,0.999995686777533,"P_15",0.968,0.877,1
"P_21",0.927447,0.991946,1,0.981596861533333,0.0279013894018345,NA,0.000121148614633017,0.4,53041,-0.00626620079760643,1.00033935098758,"P_21",0.982,0.927,1
"P_22",0.987029,0.998647,1,0.996722490416667,0.00541884708361506,NA,2.42128381423761e-05,0.4,50087,-0.00630946123754174,1.00044735167533,"P_22",0.997,0.987,1
"r1_sut",0.00130605,0.04642515,0.133366,0.0555664470459667,0.0397461100785491,NA,0.000164521898326021,0.4,58364,0.00292352991953882,1.00016194460189,"r1_sut",0.056,0.001,0.133
"r1_ste",0.0315596,0.1200275,0.236706,0.1273527586805,0.0553937747964589,NA,0.000228022257835142,0.4,59016,0.000304892398943083,1.00003287032353,"r1_ste",0.127,0.032,0.237
"r1_sac",0.683399,0.8241445,0.938059,0.81708079835,0.0670717462655583,NA,0.000277592313699314,0.4,58380,-0.00208476355398046,1.00001984532835,"r1_sac",0.817,0.683,0.938
"r2_geo",0.125188,0.2882845,0.474276,0.293684539321667,0.0913366651912118,NA,0.000371209066441313,0.4,60541,-0.000956849591648939,1.00001591530129,"r2_geo",0.294,0.125,0.474
"r2_sac",0.525724,0.7117155,0.874812,0.70631546055,0.0913366648994196,NA,0.000371209065876181,0.4,60541,-0.000956847848954173,1.00001591522355,"r2_sac",0.706,0.526,0.875
"FirstSeenAtR.1_pred[1]",33,51,70,51.70075,9.66604831246977,49,0.0392949035687637,0.4,60510,-3.03332361073254e-05,0.999996666989337,"FirstSeenAtR.1_pred[1]",51.701,33,70
"FirstSeenAtR.1_pred[2]",0,0,1,0.0811,0.301315399290341,0,0.00124016378618856,0.4,59032,-0.00340022235783038,1.00060332448509,"FirstSeenAtR.1_pred[2]",0.081,0,1
"FirstSeenAtR.1_pred[3]",0,0,0,0.00446666666666667,0.0671822703286589,0,0.000276752840045149,0.4,58928,-0.00442434813692374,1.0020151997433,"FirstSeenAtR.1_pred[3]",0.004,0,0
"FirstSeenAtR.1_pred[4]",0,0,0,0.0128833333333333,0.114677397819485,0,0.000466140679321245,0.4,60523,0.0111398143257934,1.00127528655833,"FirstSeenAtR.1_pred[4]",0.013,0,0
"FirstSeenAtR.1_pred[5]",0,0,0,0,0,0,NA,NA,NA,NA,NA,"FirstSeenAtR.1_pred[5]",0,0,0
"FirstSeenAtR.1_pred[6]",0,0,0,1.66666666666667e-05,0.00408248290463863,0,2.88675134594785e-05,0.7,20000,NA,1.29098990690667,"FirstSeenAtR.1_pred[6]",0,0,0
"FirstSeenAtR.1_pred[7]",0,0,0,0.000516666666666667,0.0227246194473682,0,9.2772870408288e-05,0.4,60000,-0.000517196112941626,1.00360100932089,"FirstSeenAtR.1_pred[7]",0.001,0,0
"FirstSeenAtR.1_pred[8]",529,549,566,548.200266666667,9.67708224074973,551,0.0393441299044697,0.4,60496,-8.05699442048959e-05,0.999996891921765,"FirstSeenAtR.1_pred[8]",548.2,529,566
"Auxiliary_D.3_pred[1]",1,7,15,7.72488333333333,3.88470663870732,6,0.015859248442059,0.4,60000,0.000764867088431129,1.00000508512851,"Auxiliary_D.3_pred[1]",7.725,1,15
"Auxiliary_D.3_pred[2]",0,0,3,0.8779,1.29146662936662,0,0.00570579932748188,0.4,51231,-0.0116670462895784,1.00005705265333,"Auxiliary_D.3_pred[2]",0.878,0,3
"Auxiliary_D.3_pred[3]",26,43,60,43.0979666666667,8.91366329979502,41,0.036502040664429,0.4,59632,-0.000397999406077781,1.00001884500582,"Auxiliary_D.3_pred[3]",43.098,26,60
"GivenDetectionAtD.3_pred[1]",12,26,39,26.4547833333333,7.07531788132337,25,0.0279201711547769,0.4,64218,0.000254713829485444,1.00001521191298,"GivenDetectionAtD.3_pred[1]",26.455,12,39
"GivenDetectionAtD.3_pred[2]",0,1,5,1.52096666666667,1.67661581255176,0,0.00683029683632371,0.4,60254,0.000986951033175102,1.00008448841441,"GivenDetectionAtD.3_pred[2]",1.521,0,5
"GivenDetectionAtD.3_pred[3]",0,4,9,3.99728333333333,2.74704114584641,3,0.0112891070462148,0.4,59212,-0.000575677340178032,0.999999284469126,"GivenDetectionAtD.3_pred[3]",3.997,0,9
"GivenDetectionAtD.3_pred[4]",0,0,0,0.00713333333333333,0.08533797668717,0,0.000354831483711166,0.4,57842,0.00675338753247698,1.00021344288529,"GivenDetectionAtD.3_pred[4]",0.007,0,0
"GivenDetectionAtD.3_pred[5]",0,0,0,0.0192166666666667,0.144156394493354,0,0.000588516016113485,0.4,60000,-0.00968808191961916,1.00061393731774,"GivenDetectionAtD.3_pred[5]",0.019,0,0
"GivenDetectionAtD.3_pred[6]",0,0,1,0.1444,0.432109267015081,0,0.00176768529443222,0.4,59755,-0.000783901530325867,1.0000815643107,"GivenDetectionAtD.3_pred[6]",0.144,0,1
"GivenDetectionAtD.3_pred[7]",8,19,31,19.5569666666667,6.1385353431546,18,0.0253453426172139,0.4,58659,0.0025274452667147,1.00001552463061,"GivenDetectionAtD.3_pred[7]",19.557,8,31
"Auxiliary_D.8_pred[1]",0,0,3,0.89455,1.29066832606682,0,0.00559109288458204,0.4,53289,0.00141780090906711,1.00017434024842,"Auxiliary_D.8_pred[1]",0.895,0,3
"Auxiliary_D.8_pred[2]",0,0,3,0.882433333333333,1.28165470760864,0,0.00563894631117387,0.4,51659,0.000229218848717479,0.999988610854953,"Auxiliary_D.8_pred[2]",0.882,0,3
"Auxiliary_D.8_pred[3]",11,24,37,24.7589,6.85742088497465,23,0.0279953035328211,0.4,60000,0.00122878721468864,1.00001968969376,"Auxiliary_D.8_pred[3]",24.759,11,37
"GivenDetectionAtD.8_pred[1]",0,6,12,6.09601666666667,3.38352699668623,5,0.0137884993370983,0.4,60215,-0.00422389448804831,0.999993023819541,"GivenDetectionAtD.8_pred[1]",6.096,0,12
"GivenDetectionAtD.8_pred[2]",4,14,24,14.8587166666667,5.29907133584171,13,0.0213120528256469,0.4,61823,0.00170915426083949,1.00003800114864,"GivenDetectionAtD.8_pred[2]",14.859,4,24
"GivenDetectionAtD.8_pred[3]",0,0,1,0.0687166666666667,0.278021536315324,0,0.00114894118110034,0.4,58555,0.000218708995161746,1.00019025406433,"GivenDetectionAtD.8_pred[3]",0.069,0,1
"GivenDetectionAtD.8_pred[4]",0,5,12,5.51243333333333,3.26278860925958,4,0.0133713726419886,0.4,59542,-0.00593891032552904,1.00002108009249,"GivenDetectionAtD.8_pred[4]",5.512,0,12
"Auxiliary_D.14_pred[1]",0,0,2,0.408416666666667,0.808840773439887,0,0.00327423092505019,0.4,61025,-0.000416089805886075,1.00037361240942,"Auxiliary_D.14_pred[1]",0.408,0,2
"Auxiliary_D.14_pred[2]",0,0,2,0.414683333333333,0.823649828328894,0,0.00336253634356165,0.4,60000,8.12245963081924e-05,1.0003602533885,"Auxiliary_D.14_pred[2]",0.415,0,2
"Auxiliary_D.14_pred[3]",0,0,3,0.702333333333333,1.0861464990779,0,0.00443417451441919,0.4,60000,0.00578667031591566,1.00001596624638,"Auxiliary_D.14_pred[3]",0.702,0,3
"GivenDetectionAtD.14_pred[1]",0,0,2,0.471466666666667,0.880056110257471,0,0.00359435646593477,0.4,59949,0.00762121158383463,1.00000384906979,"GivenDetectionAtD.14_pred[1]",0.471,0,2
"GivenDetectionAtD.14_pred[2]",0,1,4,1.05396666666667,1.36838791051616,0,0.00561437518680957,0.4,59404,-0.00269217912717168,1.00016588655255,"GivenDetectionAtD.14_pred[2]",1.054,0,4
"Auxiliary_D.15_pred[1]",0,0,3,0.599466666666667,1.0019097327641,0,0.00411159846985024,0.4,59379,0.00143094509586826,1.00001113346362,"Auxiliary_D.15_pred[1]",0.599,0,3
"Auxiliary_D.15_pred[2]",0,0,3,0.60065,1.00110919209324,0,0.00414814845167403,0.4,58244,-0.00530391392454164,1.00002691662028,"Auxiliary_D.15_pred[2]",0.601,0,3
"Auxiliary_D.15_pred[3]",0,2,7,2.81005,2.26652184698377,1,0.0093039521248008,0.4,59345,0.00106230335943125,0.999990159198132,"Auxiliary_D.15_pred[3]",2.81,0,7
"GivenDetectionAtD.15_pred[1]",0,2,6,1.96701666666667,1.871822773412,1,0.00764168447296829,0.4,60000,-0.00201021536561641,1.00009113856012,"GivenDetectionAtD.15_pred[1]",1.967,0,6
"GivenDetectionAtD.15_pred[2]",0,2,6,2.04315,1.91296865325018,1,0.00783057063222129,0.4,59680,-0.000749045522643826,1.00002083962099,"GivenDetectionAtD.15_pred[2]",2.043,0,6
"Auxiliary_D.21_pred[1]",0,0,3,0.717966666666667,1.12181913583479,0,0.00467878308567618,0.4,57488,0.00291851721766111,1.00001868483944,"Auxiliary_D.21_pred[1]",0.718,0,3
"Auxiliary_D.21_pred[2]",0,0,3,0.711666666666667,1.11068347539639,0,0.00465136180353134,0.4,57019,-0.00147263149590975,1.00016013145727,"Auxiliary_D.21_pred[2]",0.712,0,3
"Auxiliary_D.21_pred[3]",0,4,10,4.67351666666667,2.93719294873453,3,0.0120629372166803,0.4,59287,-0.00790485586495655,0.999983626913645,"Auxiliary_D.21_pred[3]",4.674,0,10
"GivenDetectionAtD.21_pred[1]",0,2,6,2.26606666666667,2.02556417920036,1,0.00822102390641571,0.4,60707,-0.00481194958973393,1.00004463939343,"GivenDetectionAtD.21_pred[1]",2.266,0,6
"GivenDetectionAtD.21_pred[2]",0,3,9,3.83708333333333,2.65483689939167,3,0.0108464629994496,0.4,59910,0.00618049669918,1.00002366628654,"GivenDetectionAtD.21_pred[2]",3.837,0,9
"Auxiliary_D.22_pred[1]",0,0,3,0.802416666666667,1.2086087754005,0,0.0051055764362751,0.4,56038,0.00405284579917736,0.999992710404971,"Auxiliary_D.22_pred[1]",0.802,0,3
"Auxiliary_D.22_pred[2]",0,0,3,0.796533333333333,1.20021886517042,0,0.00516829379826306,0.4,53930,-0.00797923228040863,1.00009288327655,"Auxiliary_D.22_pred[2]",0.797,0,3
"Auxiliary_D.22_pred[3]",3,13,22,13.279,4.98757859744296,12,0.0202714032098525,0.4,60536,0.000348604676302132,1.00002502378841,"Auxiliary_D.22_pred[3]",13.279,3,22
"GivenDetectionAtD.22_pred[1]",1,8,15,8.24585,3.91151668498034,7,0.0161468199173894,0.4,58684,-0.00474362823694981,1.00002317296529,"GivenDetectionAtD.22_pred[1]",8.246,1,15
"GivenDetectionAtD.22_pred[2]",1,6,13,6.6321,3.5024259268574,5,0.0141047041893181,0.4,61661,-0.000325407406509151,1.00010373965314,"GivenDetectionAtD.22_pred[2]",6.632,1,13
"Auxiliary_H.30_pred[1]",0,2,7,2.69853333333333,2.23786385856387,1,0.00913604094549631,0.4,60000,-0.00323496519886686,1.00011868335877,"Auxiliary_H.30_pred[1]",2.699,0,7
"Auxiliary_H.30_pred[2]",0,2,7,2.701,2.23149770177637,1,0.00914052613576418,0.4,59601,-0.00102998207977979,0.999983742528895,"Auxiliary_H.30_pred[2]",2.701,0,7
"Auxiliary_H.30_pred[3]",1,7,15,7.7645,3.80690792627464,7,0.0154674698045522,0.4,60577,-0.00613511448819328,0.99999524352973,"Auxiliary_H.30_pred[3]",7.764,1,15
